ds,y,predict
2023-12-27,1126.1700439453125,1.667
2023-12-28,1122.4100341796875,1.667
2023-12-29,1116.25,1.0
2024-01-02,1085.3800048828125,0.5
2024-01-03,1058.5799560546875,0.667
2024-01-04,1049.010009765625,2.0
2024-01-05,1049.280029296875,1.25
2024-01-08,1074.8499755859375,2.0
2024-01-09,1082.489990234375,2.0
2024-01-10,1080.5699462890625,1.167
2024-01-11,1099.97998046875,1.5
2024-01-12,1107.6800537109375,0.8
2024-01-16,1114.9599609375,1.75
2024-01-17,1103.6700439453125,0.0
2024-01-18,1143.9100341796875,0.0
2024-01-19,1211.199951171875,1.8
2024-01-22,1220.5,0.75
2024-01-23,1226.31005859375,1.0
2024-01-24,1253.8699951171875,0.667
2024-01-25,1230.0,2.0
2024-01-26,1204.8800048828125,0.667
2024-01-29,1217.77001953125,1.333
2024-01-30,1208.1600341796875,1.0
2024-01-31,1180.0,1.0
2024-02-01,1200.010009765625,1.75
2024-02-02,1224.3399658203125,1.333
2024-02-05,1243.0999755859375,2.0
2024-02-06,1222.6500244140625,1.333
2024-02-07,1257.06005859375,1.2
2024-02-08,1274.760009765625,1.0
2024-02-09,1283.43994140625,1.2
2024-02-12,1265.0,1.6
2024-02-13,1251.6500244140625,1.4
2024-02-14,1262.219970703125,1.0
2024-02-15,1265.0699462890625,1.2
2024-02-16,1245.47998046875,1.2
2024-02-20,1226.550048828125,0.75
2024-02-21,1227.449951171875,0.667
2024-02-22,1304.9000244140625,0.667
2024-02-23,1296.3699951171875,1.667
2024-02-26,1309.1300048828125,1.333
2024-02-27,1296.22998046875,1.5
2024-02-28,1289.4200439453125,2.0
2024-02-29,1300.489990234375,0.0
2024-03-01,1399.1700439453125,1.667
2024-03-04,1402.260009765625,1.667
2024-03-05,1342.75,1.667
2024-03-06,1350.0,1.5
2024-03-07,1407.010009765625,1.143
2024-03-08,1308.719970703125,0.923
2024-03-11,1293.1199951171875,0.25
2024-03-12,1291.8800048828125,1.5
2024-03-13,1257.8699951171875,1.6
2024-03-14,1262.27001953125,0.857
2024-03-15,1235.5,1.333
2024-03-18,1237.239990234375,1.0
2024-03-19,1238.010009765625,1.5
2024-03-20,1276.0,2.0
